Arabic_text,ar:manual_sentiment,ar:manual_confidence
لاء ومابدا العالم تفهما غلط يخزل العين عنا اييي دنيا كل واحد بيعبر بطريقتو ,Positive,0.6000000000000001
بس المهم أنته ما تتغير وتبقى مخلص ,Positive,0.8991
انا بقول انو جامعة الازهر فاشلة  ,Negative,1.0
بجد هيك موضوع معقد ,Negative,0.8995000000000001
البلد كلو بدو نفض من فوق لتحت مو بس شوارع .. ,Negative,1.0
محمود .. انا ممكن اجاوبك ع سؤال اللي موجه لنغم .. ,Neutral,0.598
والله انك من الاساتذة فيه والله لا يحرمنا من مشاركاتك . ,Positive,1.0
ونتمنى اللحقه الجاي تكون فيها اكشن أكتر من هيك ,Negative,0.401
ويوم ميلاد سعيد انشاللله وسلااامييي ابئا تزكريني ملاك هه يوم ميلادي ,Positive,1.0
و فعلا الواحد بأوقات معينة بيحتاج لأنو يسرح بهالكون ويتأمل فيه ,Positive,0.8012
وخلص وعد علي لادخل كل يوم واعيلك  ,Positive,0.6878000000000001
اذا عصبي منشان ما تاكلي قتلة . ,Negative,0.8242
النت برأيي انا وسيلة للتعارف والتسلية ,Positive,0.5986
يعني الثقافة الجنسية أبدا مانا عيب او حرام ,Positive,0.513
إنو منشان الله بدنا نرتاح جايين من سفر ,Negative,0.7024
انت واختي الي مابحسن اقول اسمها وبحبها كتير ,Positive,0.8993
يعني بنكون ربحانين القضية او ربحانين من في اسهم الشركة بعد ما نطرحها للإكتتاب العام منظمة حقوق الانسان تقول « يقتل حوالي ٨٠٠ عراقي سني شهرياعلى ايدي وزارة الداخلية العراقية وثلثيهما تبدوا عليهم اثار التعذيب» ,Negative,0.8026000000000001
ياترى بالصيف لو فكرنا نطلع شئ رحله كم باص بدنا ,Positive,0.5929
بس المصيبة انه انا لو نمت قيلولة مابتصير ,Negative,0.7303000000000001
بس على فكرة للي عم بيقولو خلوه يسترزق يا اخي ماشي ما ختلفنا يسترزق ,Negative,0.6375000000000001
الا اذا كان خارج عن دين الاسلام او غير مسلم مع احترامي لباقي الاديان ، ,Positive,0.4969
بكفي أنك بتنزل الساعة ٣ بوجه الصبح بتلاقيها معجوقة ,Negative,0.7423000000000001
شكرا يا عيون الله يعطيكي العافية ,Positive,1.0
ياستار يا ستار بالتابوت بحط الحوت ,Negative,0.7027
أنها انسرقت بالحج بس وين بالضبط والله ما بعرف ، ,Negative,0.9047000000000001
بقى تنظير بشرفك ... ,Negative,0.6998000000000001
ولسا ما تزوجو عادي بتسمع كتير سمعات بس انت ,Negative,0.3699
من حقها تخاف لما تشوف شي جديد وتبكي لما تتوجع ,Negative,0.8117000000000001
وضاع فيها ومات فقلت خلينا نألف نهاية اكتر منطقية .. ,Negative,0.5061
اشتاق الك بالامس واليوم مشتاق وبكرة اذا شفتك بيزيد اشتاقي ,Positive,0.8018000000000001
والله حزنتيني على هالبسس ... بس مهما يكون أنا ما بحب البسس و مستحيييل أدخل بسة عالبيت ههه ...  ,Negative,0.6998000000000001
و تحياتي ليلي بيحبوا شوكلاته ,Positive,1.0
ممكن سؤال ليش دخلتي جامعة الازهر مادامها فاشلة ؟؟ .. ,Negative,0.9055000000000001
فبئسأً لهيك أشبله الرجال ولمشاريعهن ,Negative,0.9052
كافي هاد الدليل برأيك للتعميم ... ,Neutral,0.45940000000000003
والي عملو هاد ناتج تماما عن اخلاقو لا ناتج عن مغريات ولا عن رعب ,Negative,0.8969
إي نعم عش رجبا تر عجبا هي الأركيلة صارت موضة ... ,Negative,0.7030000000000001
بتعرفو وين المشكلة المشكلة انو الناس اخدين الموضوع مسخرة ,Negative,1.0
وكان موضوع لكل الاعضاء سواء من رواد الحكي المرتب ومن باقي الاقسام ,Positive,0.7109000000000001
عنجد القصة كتير مهضومة ,Positive,0.7985
الله يزيدك من نعمه كمان وكمان ,Positive,1.0
لك شايفتللك طارق أفندي أنو مناسباتك كترانة هاليومين !!! ,Negative,0.4132
كتي يعني صح لسا انا هلأ لسا فئت من النوم ومامصحصح لسا ,Neutral,0.7334
اللي بلا طعمة عالقليلة بتحس المعد فهمان شو القصة ... ,Negative,0.463
ليش تغيريه ؟ اتركيه لشو السؤال ، ,Negative,0.6362
في الموضوع ان ممكن يكون اللبس بوقت معين حلو ومناسب وراقي ,Positive,1.0
وما بتعرف شو يعني نظافة ,Negative,0.8055
لو كان الحب كلمات تكتب لأنفذت احباري .. ,Positive,0.8141
وبرضو مجتمعنا ما بقبل هيك شى ... مجتمع ما برحم ... ,Negative,0.9091
واحد بجم مابيفهم ويبدو ان ذلك يعود لاصلها البدوي !!! ,Negative,1.0
و انشالله بتمنالك هيك عسكرية حلوة و ممتعة ,Positive,0.8985000000000001
وبعدين مين قلك اني مارجعت لبلدي وعملت مشروع فيها ونجحت وانا لبلدي ,Positive,0.6994
ألف مبروك وحمدالله عالسلامة بس لسا موبايل زعبور بيغنيلك ,Positive,0.8236
ما بتوفي يعني بتخسر معن يعن أنترررنيت مع كل المواقع المحجوبة وبأحلى السرعات والأسعار ,Positive,0.46680000000000005
الا و لازم فتش عالحشرات .. ,Negative,0.5858
بس الرحلة دي شي تاني خالص .. رحت العمر .. روحة بلا رجعة بنسبة «99.99%» ,Positive,0.5075000000000001
من وجهة نظري .. متل ما بتعطي بتاخد .. ولكل قاعده شواذ !!!  ,Neutral,0.36260000000000003
وتحققي الدعوى الي دعيتلك اياها ,Positive,1.0
راسي صار يوجعني ,Negative,1.0
وكن شجاع وتعال نتناقش ... ,Positive,0.4567
،قومي خدي من الجيبة خمس وعشرين ليرة . ,Neutral,0.5452
لك السياح هنيك كل يوم بالعشرات يا جماعة هي قبلة للسياح .. ,Positive,0.7967000000000001
ليش هو فرحان انو ماتت بعد ما طلعت عيونه لاتجوز ... ,Negative,0.9053
وأكتر شي عجبني الصالة رقم ٢ ؟؟؟ حزرو ليش ؟؟؟ ,Positive,0.8139000000000001
ال «Default Gatewaty» وبضل اعمل ريبير لحتى يمشي الحال ,Positive,0.5929
شكرا على هاللفتة الكريمة ... ,Positive,1.0
بعد ما كانو ياكلو بايديهم ,Negative,0.8992
ههه خليني انا مجنووونة وخليكم نايمين ...  ,Negative,0.2967
لابل حتى هذا النوع يفضل الايتزوج على الاطلاق ,Negative,0.7036
والناس هي عم تتحرش فيكم فرنسا و بلجيكا وكل دول العالم هي عم تتحرش فيكم ,Negative,0.908
بس أحلى سؤال بتحب تاكل البوظة بالصيف ؟؟؟ ... ,Positive,0.6329
برجع بقلك أهلاً وسهلاً وننتظر مشاركاتك الفعالة أسامة ,Positive,1.0
الا اذا ما كان اليوم هو اليوم الصحيح لعيد ميلادك . ,Neutral,0.6057
أنوووس مو تكرم عينك وهي الموالح وعلب البيبسي صاروا جاهزين ... ,Positive,0.8356
ههه يعني طريقتك الساخرة بتضحك بس بصراحة شي بينبكى عليه الله يهدي الجميع بس عمو وين الفئة المعتدله بالموضوع ولا مابقي منون هدول ؟؟؟  ,Negative,0.5488000000000001
لأنن بالسعودية ورح تتطبق بحقهم عقوبات عديدة ,Negative,0.8108000000000001
ويروح لحالو لانو سيران ونكد يعني مطرح ما ... شنقوا ... ,Negative,1.0
شباب دائم طلعتيلي روحي و ما كنت أعرف شو المفاجأة  ,Positive,0.49210000000000004
وكُلُواْ وَاشْرَبُواْ وَلاَ تُسْرِفُواْ إِنَّهُ لاَ يُحِبُّ الْمُسْرِفِينَ «31» ,Positive,0.6038
والله انا شايف لو المحافظ انسان عادل ... ,Negative,0.5963
بس بدو قول للي كتير فرحانين بالتكريم العظيم للطلبة الاوائل ,Positive,1.0
بعدين اخي اقرا مو ضوع مشكلة عائلية معقدة بتهون عليك مشاكلك ,Positive,0.37170000000000003
عشاان عندي ملفاات كثيير بالمحكمة يووم السبت ,Neutral,0.6109
والبنت اذا تنفست بيقتلوها ؟؟؟ ,Negative,1.0
بتعرف انه يا ريتهم يلتزموا بحديث الرسول عليه السلام واذا بليتم فاستتروا .. ,Positive,0.45420000000000005
وفعلا لبنان صارت بلد منكوبة بالتفجيرات والاغتيالات يلى بصير فيها ,Negative,1.0
بس أهم شئ عندي الأشياء الثمينة اللي موجودة فية ,Neutral,0.5444
تفكر ابعد من هيك يا صديقي احسن ما تندم يوم من الايام ,Negative,0.7022
انو فكرك لو صدر هالكلام على لسان شي وزير مسلم كان رح تكون ريحتو غير ؟ ,Negative,0.8021
إلا أن يثبت أنها زوجتة فقط فهنى ,Neutral,0.3682
أم الأوقات يلي بعيشها مع يلي بحبهم ,Positive,0.9126000000000001
لاسباب تتعلق بظواهر طبيعية !!! بقا ليش مستغربين !!! ,Negative,0.5983
بس لسا مو مغطية كل المناطق ، لساها فترة تجريبية بركي بتزبط و بتشموا ريحة باطكن شوي ,Positive,0.4526
بدي عيد على جوز رفيقتي ابو زهزهز ,Positive,1.0
و ما تسألوني ادي عمرو لاني ما بعرف ,Negative,0.6378
تحياتي للجميع و لسفارة سورياعلى الانترنت « شبابلك » ,Positive,1.0
و لوقتها انشالله بكون اتعلمت الدبكي مظبوط حتى ندبك بعرسك للصبح ,Positive,0.9041
مو لأنه خاين لأنه هو أكبر حرامي هو وولاده ,Negative,0.908
بس ملاحظة للأخ «sooon» شريك ... مشاركتك اجت لهون بالغلط ... ياريت تنقلها لمكانها بس شكلها حلوة  ,Negative,0.37120000000000003
في اطيب من الشاورما ، ,Positive,0.8384
بس ماعليش خيرها بغيرها والبركة في الموجودين وخطوة ,Positive,0.7996000000000001
يعني يمكن لو حادثة فرديّة، بيتعلّم صاحبها من كيسه، ,Negative,0.3972
يعني برايكن مين يلي بيخالف ,Negative,0.5039
ياترى وين كنتو وقت كانو عم يركبوها ؟ اكيد ماركبوها بساعتين مو ؟؟؟ ,Negative,0.5126000000000001
صبييّ فايقة من النوم بكير ,Neutral,0.4656
يعني مافيها شي مميز ولا هي شغله نادره عنا بالبلد ههه فكرت في شي جديد ,Negative,0.804
ولا تعمليلك مصيبة ,Negative,0.9122
مارلبوروا أحمر جتان التقيل وينستون دفيدوف دنهل ,Neutral,0.5923
وليليليليليليليلششش اويها وطبخنا محشي اويها وعبينا كرشي ,Neutral,0.372
إهاه خلي هالأجواء تتعطر شوي ... ,Positive,0.8094
و الهم هودي اللي نسيو حلهن سبقتهم السنين هودي مش هني صحابو ,Negative,0.7271000000000001
والله ازا في مجال لفنجان قهوة تركية وبدون سكر بكون ممنوك كتير تعــو نحكي وندردش بالفلسطيني ههه على فكرة عجبتني كلمة متجليين زمااان ما اسمعتها بس منك زي العسل ,Positive,1.0
انا يا سيدي كنت عم اقرا بدليل الصفحات الصفراء فشفت اعلان لموقع الكرة السورية ولما رحت عالموقع شفت اعلان شبابلك ... شكرا لاهتمامك اخي وسيم  ,Positive,0.46190000000000003
أنو تكون هاملة بيتها وملتفتها لشغلها ... ,Negative,0.8083
بس المشكله انو ما يكون بحب بطنو كتير ,Negative,0.6495000000000001
انشالله كل ايامك اعياد ويبئى ئلبك دافي متل الكستنايات اللي وزعتيلنا هن بكل المناسبات ,Positive,1.0
رح قلك جوابي هون بيكون مميزز بردودك الي بتلجم ... ,Positive,0.5063
كل واحد بقول عن حالو حمساوي بكون عميل وحقير ,Negative,1.0
حاكم على كوع ركن الكوكتيل حاطين دورية ,Negative,0.5443
هية للمسؤولين اللي حضروا والأصوات العالية والضجة كمان ,Negative,0.6073000000000001
بس المشكلة انه في ايدي كبيره عمتدخل مازوت على الشام تحديدا ,Negative,0.8190000000000001
بروحوا على الدكتور طب المرض هو من حكمة الله ,Neutral,0.5081
وباعتزالك ولاعزاء لهم ,Negative,0.6387
اول شي الجلد بحقو والتهجير من البلد ,Negative,1.0
و من قلبي بشكرك موون ,Positive,1.0
وهي بتضل امنية ياريت ياريت تلبيلنا هالامنية ,Positive,0.6498
رجاء اللي بيعرف مصدر هالأحاديث يسعفنا وأنا له من الشاكرين  ,Positive,0.8948
ودمت ودام ابداعك حروفك ,Positive,1.0
أهلا بك في ضيعتنا ... ,Positive,0.8994000000000001
بشك انو في حدا بيستخدم الانترنت هون و فورا بمل و بيعصب ... ,Negative,0.7994
ومتل ما قلت احدى الاخوات تحاول مرتو تقعد جنبو وتطلب منو ان تتفرج معو لما بيدخل هيك مواقع ,Negative,0.4586
لأنك عاطل وخسيس و ندل وماشي على مبدأ أظن بالناس كما أظن بنفسي ,Negative,1.0
أهلااا بأخي الحبيب أمير العييين يعني نحنا الاعضاء العاديين مالنا معنيين بالموضوع ومع هاااد كلووو اهلااا وسهلا فيك أميرووو أخوك الغضب سلااام  ,Positive,0.8280000000000001
على فكرة لابئلك هالاسم !! كتير لزيز ,Positive,0.9239
انا كتير معجب بالفكرة حتة قبل ما تنطرح ,Positive,1.0
كنت رح فوت بالحيط أنا كمان ! ,Negative,0.6191
شباب بس يبدؤوا البث كلكم تاعو إدام الكاميرا مشان أشوفكم مو ، ,Neutral,0.6006
شكرا كتير على هالاستراحة الحلوة لازمنا بعض الترفيه بس مع نفس معسل بحريني وقهوة سادة على كيفك مشان ناخد اول ونبلش  ,Positive,1.0
وللجميع يلي بعد ما عرف حنااا يتعرف وما بيندم ,Positive,0.7993
وأروع شعور ,Positive,1.0
وانجاز انهن وفروا ٣ مليارات ، ,Positive,0.9028
اللي يجاوب يقول بصراحة ... ,Positive,0.6083000000000001
و عقبال ماتخبرنا انك راجع ... ,Positive,0.7349
هي أنا جبت الكاتو واجيت وين القعدة خينا رشيد ، ,Positive,0.7995
«بتضحك» ... و«بتبيع» ... ,Neutral,0.34540000000000004
بيتصلو فيني الأهل عالموبايل ... ,Neutral,0.5133
احنا عنا شوارع للمشاة و أرصفة للسيارات حيث نادرا ما يتم استخدام الرصيف للمشي ... ,Negative,0.6485000000000001
عنجد مو ضوعك حلووو كتير ,Positive,1.0
السلام عليكم احلى جورية ... دايما بتغمرينا بالبك الكبير الف سلامة لبشار ٩٩ وانشاء الله ربنا بيعافيه وبيرجع للمنتدى متل اول واحسن سماااح  ,Positive,1.0
و بكل عضو عم يدخل على منتدانا الحلو سواء كان قديما ,Positive,0.9071
والله الناس بتحكي وبتتأمر بتلاقي الشب يحكي ,Negative,0.8007000000000001
و الاصل يقوم هدا الحب على قاعدة الزواج ، ,Positive,0.9006000000000001
هدول لازم ننظرلهم نظرة اكبار لأنهم إخوة إلنا جار الزمن عليهم ولازم نجيرهم . ,Positive,0.596
يعني من زمان بدي أتغزل برائحة بيروت ، ,Positive,1.0
شو هاد كلو أخي هادي يعني كتير معذب حالك دخلك من شو بتشكي البسكليتي ,Negative,0.5524
